"item","protein","carbs","fats"
"EGG,WHL,CKD,HARD-BOILED",12.58,1.12,3.267
"EGG,WHOLE,COOKED,OMELET",10.59,0.68,3.296
"EGG,WHL,CKD,POACHED",12.53,0.76,3.087
"EGG,WHL,CKD,SCRMBLD",11.09,2.2,3.679
"EGG,WHOLE,DRIED",47.35,4.95,12.727
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",48.17,2.38,13.198
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",76.92,4.17,0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",82.4,4.47,0
"EGG,YOLK,DRIED",34.25,3.6,17.154
"EGG,DUCK,WHOLE,FRESH,RAW",12.81,1.45,3.681
"EGG,GOOSE,WHOLE,FRESH,RAW",13.87,1.35,3.595
"EGG,QUAIL,WHOLE,FRESH,RAW",13.05,0.41,3.557
"EGG,TURKEY,WHL,FRSH,RAW",13.68,1.15,3.632
"EGG SUBSTITUTE,FROZEN",11.29,3.2,1.93
"EGG SUBSTITUTE,LIQUID",12,0.64,0.659
"EGG SUBSTITUTE,POWDER",55.5,21.8,3.766
"BUTTER,WITHOUT SALT",0.85,0.06,51.368
"CHEESE,PARMESAN,SHREDDED",37.86,3.41,17.37
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",22.15,1.6,19.694
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",24.73,2.1,16.045
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",19.61,7.29,15.443
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",16.41,8.73,13.327
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",3.41,4.85,0.117
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",3.95,5.49,1.232
"MILK,CND,EVAP,W/ VIT A",6.81,10.04,4.591
"MILK,DRY,NONFAT,REG,W/ VIT A",36.16,51.98,0.499
"MILK,DRY,NONFAT,INST,WO/ VIT A",35.1,52.19,0.47
"CHEESE,GOAT,HARD TYPE",30.52,2.17,24.609
"CHEESE,GOAT,SEMISOFT TYPE",21.58,2.54,20.639
"CHEESE,GOAT,SOFT TYPE",18.52,0.89,14.575
"EGG,YOLK,RAW,FRZ,SALTED",14,1.6,7.028
"CHEESE SUB,MOZZARELLA",11.47,23.67,3.711
"CHEESE FONDUE",14.23,3.77,8.721
"CHEESE SAU,PREP FROM RECIPE",10.33,5.48,8.034
"CHEESE,MEXICAN,QUESO ANEJO",21.44,4.63,19.033
"CHEESE,MEXICAN,QUESO ASADERO",22.6,2.87,17.939
"CHEESE,MEXICAN,QUESO CHIHUAHUA",21.56,5.56,18.843
"CHEESE,LOFAT,CHEDDAR OR COLBY",24.35,1.91,4.342
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",24.35,1.91,20.768
"EGG,WHOLE,RAW,FROZEN",11.95,1.05,3.147
"EGG,WHITE,RAW,FROZEN",9.8,1.05,0
"EGG,WHITE,DRIED",81.1,7.8,0
"SOUR CREAM,REDUCED FAT",7,7,8.7
"SOUR CREAM,LIGHT",3.5,7.1,6.6
"SOUR CREAM,FAT FREE",3.1,15.6,0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",27.2,2,11.6
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",3.86,7.5,0.116
"PARMESAN CHS TOPPING,FAT FREE",40,40,3.11
"CHEESE,CREAM,FAT FREE",15.69,7.66,0.644
"YOGURT,CHOC,NONFAT MILK",3.53,23.53,0
"KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU",12,9.2,13.1
"KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT",16.3,16.2,6.4
"KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT",22.7,11.7,0.7
"KRAFT VELVEETA PAST PROCESS CHS SPRD",16.3,9.8,14.4
"KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT",19.6,11.8,7.1
"KRAFT BREAKSTONE'S RED FAT SOUR CRM",4.5,6.5,7.6
"KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM",4.7,15.1,0.8
"KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)",3.8,18.2,0.5
"KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)",3.2,21.9,0.5
"KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)",3.8,19.9,0.5
"KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T)",3.4,9.9,0.1
"CREAM,HALF & HALF,FAT FREE",2.6,9,0.841
"REDDI WIP FAT FREE WHIPPED TOPPING",3,25,2.869
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",2.99,12.13,1.177
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",4.86,18.6,0.909
"CHEESE,PARMESAN,DRY GRATED,RED FAT",20,1.37,13.317
"CREAM SUB,FLAV,LIQ",0.69,35.07,2.635
"CREAM SUB,FLAV,POWDERED",0,75.42,19.446
"CHEESE,PROVOLONE,RED FAT",24.7,3.5,11.3
"CHEESE,MEXICAN,BLEND,RED FAT",24.69,3.41,11.58
"EGG MIX,USDA CMDTY",35.6,23.97,10.305
"ALLSPICE,GROUND",6.09,72.12,2.55
"ANISE SEED",17.6,50.02,0.586
"SPICES,BASIL,DRIED",14.37,60.96,0.24
"SPICES,BAY LEAF",7.61,74.97,2.28
"CARAWAY SEED",19.77,49.9,0.62
"SPICES,CARDAMOM",10.76,68.47,0.68
"CELERY SEED",18.07,41.35,2.19
"CHERVIL,DRIED",23.2,49.1,0.169
"CHILI POWDER",12.26,54.66,2.953
"CINNAMON,GROUND",3.99,80.59,0.345
"CLOVES,GROUND",5.98,61.21,5.438
"CORIANDER LEAF,DRIED",21.93,52.1,0.115
"CORIANDER SEED",12.37,54.99,0.99
"CUMIN SEED",17.81,44.24,1.535
"CURRY POWDER",12.66,58.15,2.237
"DILL SEED",15.98,55.17,0.73
"DILL WEED,DRIED",19.96,55.82,0.234
"FENNEL SEED",15.8,52.29,0.48
"FENUGREEK SEED",23,58.35,1.46
"GARLIC POWDER",16.8,72.71,0.135
"GINGER,GROUND",9.12,70.79,1.94
"MACE,GROUND",6.71,50.5,9.51
"MARJORAM,DRIED",12.66,60.56,0.529
"MUSTARD SEED,YELLOW",24.94,34.94,1.46
"NUTMEG,GROUND",5.84,49.29,25.94
"ONION POWDER",10.12,80.67,0.183
"SPICES,OREGANO,DRIED",11,64.43,2.66
"PAPRIKA",14.76,55.74,2.1
"PARSLEY,DRIED",22.42,51.66,0.115
"PEPPER,BLACK",10.95,64.81,0.98
"PEPPER,RED OR CAYENNE",12.01,56.63,3.26
"PEPPER,WHITE",10.4,68.61,0.626
"POPPY SEED",17.99,28.13,4.517
"POULTRY SEASONING",9.59,65.59,3.29
"PUMPKIN PIE SPICE",5.76,69.28,6.53
"ROSEMARY,DRIED",4.88,64.06,7.371
"SAFFRON",11.43,65.37,1.586
"SAGE,GROUND",10.63,60.73,7.03
"SAVORY,GROUND",6.73,68.73,3.26
"SPICES,TARRAGON,DRIED",22.77,50.22,1.881
"SPICES,THYME,DRIED",9.11,63.94,2.73
"TURMERIC,GROUND",7.83,64.93,3.12
"BASIL,FRESH",3.15,2.65,0.041
"DILL WEED,FRSH",3.46,7.02,0.06
"MUSTARD,PREPARED,YELLOW",4.37,5.33,0.248
"SALT,TABLE",0,0,0
"VINEGAR,CIDER",0,0.93,0
"THYME,FRSH",5.56,24.45,0.467
"VANILLA EXTRACT",0.06,12.65,0.01
"VANILLA EXTRACT,IMITN,ALCOHOL",0.05,2.41,0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",0.03,14.4,0
"VINEGAR,DISTILLED",0,0.04,0
"CAPERS,CANNED",2.36,4.89,0.233
"HORSERADISH,PREPARED",1.18,11.29,0.09
"ROSEMARY,FRESH",3.31,20.7,2.838
"PEPPERMINT,FRESH",3.75,14.89,0.246
"SPEARMINT,FRESH",3.29,8.41,0.191
"SPEARMINT,DRIED",19.93,52.04,1.577
"VINEGAR,RED WINE",0.04,0.27,0
"VINEGAR,BALSAMIC",0.49,17.03,0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",0,56.29,0
"BABYFOOD,MEAT,BF,STR",12.03,2.43,1.18
"BABYFOOD,MEAT,BF,STR",12.03,2.43,1.18
"BABYFOOD,MEAT,VEAL,STR",13.12,1.51,1.063
"BABYFOOD,MEAT,PORK,STR",14,0,2.4
"BABYFOOD,MEAT,HAM,STR",11.3,3.7,1.267
"BABYFOOD,MEAT,HAM,JUNIOR",11.3,3.7,1.271
"BABYFOOD,MEAT,LAMB,STR",14.07,0.85,1.65
"BABYFOOD,MEAT,LAMB,JUNIOR",15.2,0,2.56
"BABYFOOD,MEAT,CHICK,STR",13.7,0.1,2.03
"BABYFOOD,MEAT,CHICK,JR",14,0,2.47
"BABYFOOD,MEAT,CHICK STKS,JR",14.6,1.5,4.094
"BABYFOOD,MEAT,TURKEY,STR",11.5,1.4,1.641
"BABYFOOD,MEAT,TURKEY,JR",11.5,1.4,1.641
"BABYFOOD,MEAT,TURKEY STKS,JR",13.7,1.4,4.143
