"item","protein","carbs","fats"
"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",1.49,5.86,0.042
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",1.49,6.45,0.042
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",1.49,5.86,0.042
"BEETS,CKD,BOILED. DRND,W/SALT",1.68,9.96,0.028
"BEETS,CND,NO SALT,SOL&LIQUIDS",0.8,6.57,0.011
"BEET GRNS,CKD,BLD,DRND,W/SALT",2.57,5.46,0.031
"BORAGE,CKD,BLD,DRND,W/SALT",2.09,3.55,0.197
"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",4.8,10.1,0.142
"BROCCOLI,LEAVES,RAW",2.98,5.24,0.054
"BROCCOLI,FLOWER CLUSTERS,RAW",2.98,5.24,0.054
"BROCCOLI,STALKS,RAW",2.98,5.24,0.054
"BROCCOLI,CKD,BLD,DRND,W/SALT",2.38,7.18,0.079
"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",3.1,5.35,0.018
"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",3.1,5.35,0.018
"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",2.55,7.1,0.102
"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",3.64,8.32,0.081
"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",2.09,21.15,0
"BUTTERBUR,CKD,BLD,DRND,W/SALT",0.23,2.16,0
"CABBAGE,COMMON,FRESHLY HARVEST,RAW",1.21,5.37,0.023
"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",1.21,5.37,0.023
"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",1.27,5.51,0
"CABBAGE,RED,CKD,BLD,DRND,W/SALT",1.51,6.94,0.011
"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",1.8,5.41,0.012
"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",1.56,1.78,0.021
"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",1.5,2.41,0.036
"CARDOON,CKD,BLD,DRND,W/SALT",0.76,4.74,0.012
"CARROTS,CKD,BLD,DRND,W/SALT",0.76,8.22,0.037
"CARROTS,CND,NO SALT,SOL&LIQUIDS",0.59,5.36,0.024
"CARROTS,CND,NO SALT ,DRND SOL",0.64,5.54,0.036
"CARROTS,FRZ,CKD,BLD,DRND,W/SALT",0.58,7.73,0.132
"CAULIFLOWER,CKD,BLD,DRND,W/SALT",1.84,4.11,0.07
"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",1.61,3.16,0.034
"CELERIAC,CKD,BLD,DRND,W/SALT",0.96,5.9,0
"CELERY,CKD,BLD,DRND,W/SALT",0.83,4,0.04
"CHARD,SWISS,CKD,BLD,DRND,W/SALT",1.88,4.13,0
"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",0.62,4.5,0.086
"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT",1.64,4.31,0
"COLLARDS,CKD,BLD,DRND,W/SALT",2.11,4.91,0.047
"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",2.97,7.1,0.04
"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",3.32,25.11,0.197
"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS",1.95,15.41,0.077
"CORN,SWT,YEL,CND,CRM STYLE,NO SALT",1.74,18.13,0.065
"CORN,SWT,YEL,CND,VACUUM PK,NO SALT",2.41,19.44,0.077
"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",2.55,18.71,0.066
"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",3.11,22.33,0.114
"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/SALT",3.17,19.73,0.096
"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",8.49,23.5,0.175
"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,W/SALT",2.6,7,0.079
"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",4.67,2.8,0.026
"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",1.9,3.8,0.02
"DANDELION GRNS,CKD,BLD,DRND,W/SALT",2,6.4,0
"EGGPLANT,CKD,BLD,DRND,W/SALT",0.83,8.14,0.044
"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,W/SALT",0.6,3.1,0.001
"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT",0.66,13.75,0.027
"HORSERADISH-TREE,LEAFY TIPS,CKD,BLD,DRND,W/SALT",5.27,11.15,0
"HORSERADISH-TREE,PODS,CKD,BLD,DRND,W/SALT",2.09,8.18,0
"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",2.95,9.2,0.119
"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",3.68,7.29,0.03
"KALE,CKD,BLD,DRND,W/SALT",1.9,5.63,0.052
"KALE,FRZ,CKD,BLD,DRND,W/SALT",2.84,5.23,0.063
"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",1.9,5.62,0.053
"KOHLRABI,CKD,BLD,DRND,W/SALT",1.8,6.69,0.014
"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",3.2,5,0.052
"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT",0.81,7.62,0.027
"LOTUS ROOT,CKD,BLD,DRND,W/SALT",1.58,16.02,0.021
"MUSHROOMS,CKD,BLD,DRND,W/SALT",2.17,5.29,0.052
"MUSHROOMS,SHIITAKE,CKD,W/SALT",1.56,13.8,0.05
"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",2.26,2.1,0.012
"MUSTARD GRNS,FRZ,CKD,BLD,DRND,W/SALT",2.27,3.11,0.013
"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT",1.7,2.8,0
"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT",1.3,2.13,0.027
"OKRA,CKD,BLD,DRND,W/SALT",1.87,4.51,0.045
"OKRA,FRZ,CKD,BLD,DRND,W/SALT",2.08,5.75,0.079
"ONIONS,CKD,BLD,DRND,W/SALT",1.36,9.56,0.031
"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",0.77,6,0.016
"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",0.71,6.11,0.009
"PARSNIPS,CKD,BLD,DRND,W/SALT",1.32,17.01,0.05
"PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT",3.27,6.46,0.044
"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT",3.5,8.43,0.073
"PEAS,GRN,CKD,BLD,DRND,W/SALT",5.36,15.63,0.039
"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS",3.19,9.75,0.054
"PEAS,GRN,CND,NO SALT,DRND SOL",4.42,12.58,0.062
"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",5.15,14.26,0.049
"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",7.05,17.08,0.09
"PEAS&CARROTS,CND,NO SALT,SOL&LIQUIDS",2.17,8.48,0.049
"PEAS&CARROTS,FRZ,CKD,BLD,DRND,W/SALT",3.09,10.12,0.077
"PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT",2.54,8.63,0.036
"PEPPERS,HOT CHILI,RED,RAW",1.87,8.81,0.042
"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",0.9,5.1,0.01
"PEPPERS,SWT,RED,RAW",0.99,6.03,0.027
"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT",0.92,6.11,0.029
"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",0.92,6.7,0.029
"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",0.92,6.11,0.029
"PEPPERS,SWT,GRN,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",0.95,3.31,0.027
"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",5.96,19.49,0.112
"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,W/SALT",2.3,3.1,0
"POTATOES,BKD,FLESH & SKN,W/ SALT",2.5,21.15,0.035
"POTATOES,BKD,FLESH,W/SALT",1.96,21.55,0.026
"POTATOES,BKD,SKN,W/ SALT",4.29,46.06,0.026
"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT",1.87,20.13,0.026
"POTATOES,BLD,CKD IN SKN,SKN,W/SALT",2.86,17.2,0.026
"POTATOES,BLD,CKD WO/ SKN,FLESH,W/ SALT",1.71,20.01,0.026
"POTATOES,MICROWAVED,CKD,IN SKN,FLESH&SKN,W/SALT",2.44,24.24,0.026
"POTATOES,MICROWAVED,CKD IN SKN,FLESH,W/SALT",2.1,23.28,0.026
"POTATOES,MICROWAVED,CKD,IN SKN,SKN W/SALT",4.39,29.63,0.026
"POTATOES,FRZ,WHL,CKD,BLD,DRND,W/SALT",1.98,13.93,0.034
"POTATOES,FRZ,FRCH FR,PAR FR,CTTGE-CUT,PREP,HTD OVEN,W/SALT",3.44,34.03,3.894
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,OVN-HTD",2.66,28.71,1.029
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,AS PURCH",2.24,24.81,0.94
"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING MARGARINE",5.06,11.27,3.53
"POTATOES,SCALLPD,HOME-PREPARED W/MARGARINE",2.87,10.78,1.377
"PUMPKIN,CKD,BLD,DRND,W/SALT",0.72,4.9,0.037
"PUMPKIN,CANNED,WITH SALT",1.1,8.09,0.146
"PUMPKIN,FLOWERS,CKD,BLD,DRND,W/SALT",1.09,3.18,0.041
"PUMPKIN LEAVES,CKD,BLD,DRND,W/ SALT",2.72,3.39,0.114
"PURSLANE,CKD,BLD,DRND,W/SALT",1.49,3.55,0
"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT",0.67,3.43,0.073
"RUTABAGAS,CKD,BLD,DRND,W/SALT",1.29,8.74,0.029
"SALSIFY,CKD,BLD,DRND,W/SALT",2.73,15.36,0
"SOYBEANS,GRN,CKD,BLD,DRND,W/SALT",12.35,11.05,0.74
"SPINACH,CKD,BLD,DRND,W/SALT",2.97,3.75,0.043
"SPINACH,CND,NO SALT,SOL&LIQUIDS",2.11,2.92,0.06
"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,W/SALT",4.01,4.8,0
"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT",0.91,4.31,0.064
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT",0.91,4.31,0.064
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,W/SALT",1.28,5.54,0.04
"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",1.03,3.3,0.035
"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,W/SALT",0.64,3.93,0.01
"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,W/SALT",1.15,2.97,0.027
"SQUASH,WNTR,ALL VAR,CKD,BKD,W/SALT",0.89,8.74,0.13
"SQUASH,WNTR,ACORN,CKD,BKD,W/SALT",1.12,14.58,0.029
"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,W/SALT",0.67,8.79,0.017
"SQUASH,WNTR,BUTTERNUT,CKD,BKD,W/SALT",0.9,10.49,0.019
"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,W/SALT",1.23,10.04,0.014
"SQUASH,WNTR,HUBBARD,CKD,BKD,W/SALT",2.48,10.81,0.128
"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,W/SALT",1.48,6.46,0.076
"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,W/SALT",0.66,6.46,0.062
"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,W/SALT",5.07,24.37,0.148
"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,W/SALT",4.31,19.95,0.166
"SWAMP CABBAGE,CKD,BLD,DRND,W/SALT",2.08,3.71,0
"SWEET POTATO LEAVES,CKD,STMD,W/ SALT",2.32,7.32,0.065
"SWEET POTATO,CKD,BKD IN SKN,W/ SALT",2.01,20.71,0.052
"SWEET POTATO,CKD,BLD,WO/ SKN,W/ SALT",1.37,17.72,0.031
"SWEET POTATO,FRZ,CKD,BKD,W/ SALT",1.71,23.4,0.026
"TARO,COOKED,WITH SALT",0.52,34.6,0.023
"TARO,LEAVES,CKD,STMD,W/SALT",2.72,3.89,0.083
"TARO,SHOOTS,CKD,W/SALT",0.73,3.19,0.016
"TARO,TAHITIAN,CKD,W/SALT",4.16,6.85,0.139
"TOMATOES,RED,RIPE,CKD,W/ SALT",0.95,4.01,0.015
"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC,NO SALT ADDED",0.78,4,0.018
"TOMATO JUC,CND,WO/SALT",0.76,4.24,0.008
"TOMATO PRODUCTS,CND,PASTE,W/SALT",4.32,18.91,0.1
"TOMATO PRODUCTS,CND,PUREE,W/SALT",1.65,8.98,0.029
"TURNIPS,CKD,BLD,DRND,W/SALT",0.71,5.06,0.008
"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",1.53,3.76,0.025
"TURNIP GRNS,CKD,BLD,DRND,W/SALT",1.14,4.36,0.053
"TURNIP GRNS,FRZ,CKD,BLD,DRND,W/SALT",3.35,4.98,0.099
"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",2.99,4.74,0.085
"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,W/SALT",2.86,13.09,0.031
"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",0.4,2.45,0.016
"WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",5.31,3.21,0.101
"YAM,CKD,BLD,DRND,OR BKD,W/SALT",1.49,26.99,0.029
"YAMBEAN (JICAMA),CKD,BLD,DRND,W/SALT",0.72,8.23,0
"YARDLONG BEAN,CKD,BLD,DRND,W/SALT",2.53,9.17,0.026
"CORN,SWEET,WHITE,RAW",3.22,19.02,0.182
"CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT",3.32,25.11,0.197
"CORN,SWT,WHITE,CKD,BLD,DRND,W/SALT",3.32,25.11,0.197
"CORN,SWT,WHITE,CND,WHL KERNEL,REG PK,SOL&LIQUIDS",1.95,15.41,0.077
"CORN,SWT,WHITE,CND,WHL KERNEL,NO SALT,SOL&LIQUIDS",1.95,15.41,0.077
"CORN,SWT,WHITE,CND,WHL KERNEL,DRND SOL",2.62,18.59,0.154
"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",1.74,18.13,0.065
"CORN,SWT,WHITE,CND,CRM STYLE,NO SALT",1.74,18.13,0.065
"CORN,SWT,WHITE,CND,VACUUM PK,REG PK",2.41,19.44,0.077
"CORN,SWT,WHITE,CND,VACUUM PK,NO SALT",2.41,19.44,0.077
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,UNPREP",3.02,20.81,0.119
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",2.75,19.56,0.066
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT",2.75,19.56,0.066
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP",3.28,23.5,0.12
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",3.11,22.33,0.114
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",3.11,22.33,0.114
"PEPPERS,SWT,RED,CND,SOL&LIQUIDS",0.8,3.9,0.045
"PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP",1.08,4.45,0.031
"PEPPERS,SWT,RED,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",0.95,3.31,0.026
"PEPPERS,SWT,RED,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",0.95,3.31,0.027
"PEPPERS,SWT,RED,SAUTEED",1.04,6.57,1.557
"SESBANIA FLOWER,CKD,STMD,W/SALT",1.14,5.1,0
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",8.47,6.53,0.617
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED,W/SALT",13.1,9.4,0
"DOCK,CKD,BLD,DRND,W/SALT",1.83,2.93,0
"LENTILS,SPROUTED,CKD,STIR-FRIED,W/SALT",8.8,21.25,0.053
"MOUNTAIN YAM,HAWAII,CKD,STMD,W/ SALT",1.73,19.99,0.018
"TREE FERN,CKD,W/SALT",0.29,10.78,0
"POTATOES,MSHD,PREP FROM GRANULES,WO/MILK,WHL MILK&MARGARINE",2.05,14.4,1.284
"POTATOES,MSHD,PREP FROM FLAKES,WO/MILK,WHL MILK&MARGARINE",1.9,15.02,1.46
"PEPPERS,SWT,RED,FREEZE-DRIED",17.9,68.7,0.447
"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",1.15,4.5,0.022
"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",1.15,4.5,0.022
"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",1.87,16.77,2.078
"CATSUP",1.74,25.15,0.043
"PICKLES,CUCUMBER,DILL OR KOSHER DILL",0.6,2.59,0.036
"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",0.58,21.15,0.067
"PICKLES,CUCUMBER,SOUR",0.33,2.26,0.052
"PIMENTO,CANNED",1.1,5.1,0.045
"PICKLE RELISH,HOT DOG",1.5,23.35,0.044
"PICKLE RELISH,SWEET",0.37,35.06,0.054
"PICKLES,CUCUMBER,SOUR,LO NA",0.33,2.26,0.052
"PICKLES,CUCUMBER,DILL,LO NA",0.62,4.13,0.05
"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)",0.37,33.73,0.067
"CATSUP,LOW SODIUM",1.74,25.15,0.043
"MUSHROOMS,ENOKI,RAW",2.56,7.68,0
"PEPPERS,SWEET,YELLOW,RAW",1,6.32,0.031
"RADICCHIO,RAW",1.43,4.48,0.06
"SQUASH,ZUCCHINI,BABY,RAW",2.71,3.11,0.083
"TOMATILLOS,RAW",0.96,5.84,0.139
"TOMATOES,SUN-DRIED",14.11,55.76,0.426
"TOMATOES,SUN-DRIED,PACKED IN OIL,DRND",5.06,23.33,1.893
"FENNEL,BULB,RAW",1.24,7.29,0
"PICKLE RELISH,HAMBURGER",0.63,34.48,0.052
"ARUGULA,RAW",2.58,3.65,0.086
"CARROTS,BABY,RAW",0.64,8.24,0.023
"HEARTS OF PALM,CANNED",2.52,4.62,0.13
"PEPPERS,HOT CHILE,SUN-DRIED",10.58,69.86,0.813
"NOPALES,RAW",1.32,3.33,0.016
"NOPALES,CKD,WO/SALT",1.35,3.28,0.006
"CAULIFLOWER,GREEN,RAW",2.95,6.09,0.047
"CAULIFLOWER,GRN,CKD,NO SALT ADDED",3.04,6.28,0.049
"CAULIFLOWER,GRN,CKD,W/ SALT",3.04,6.28,0.049
"BROCCOLI,CHINESE,COOKED",1.14,3.81,0.11
"CABBAGE,NAPA,COOKED",1.1,2.23,0
"LEMON GRASS (CITRONELLA),RAW",1.82,25.31,0.119
"BEANS,FAVA,IN POD,RAW",7.92,17.63,0.118
"GRAPE LEAVES,RAW",5.6,17.31,0.336
"GRAPE LEAVES,CND",4.27,11.71,0.312
"PEPPER,BANANA,RAW",1.66,5.35,0.048
"PEPPER,SERRANO,RAW",1.74,6.7,0.059
"PEPPER,ANCHO,DRIED",11.86,51.41,0.82
"PEPPERS,JALAPENO,RAW",1.35,5.9,0.062
"PEPPERS,CHILI,GRN,CND",0.72,4.6,0.028
"PEPPERS,HUNGARIAN,RAW",0.8,6.68,0.046
"PEPPERS,PASILLA,DRIED",12.35,51.13,0
"PICKLES,CHOWCHOW,W/CAULIFLOWER ONION MUSTARD,SWT",1.5,26.64,0.149
"EPAZOTE,RAW",0.33,7.44,0
"FIREWEED,LEAVES,RAW",4.71,19.22,0
"MALABAR SPINACH,COOKED",2.98,2.71,0
"MUSHROOM,OYSTER,RAW",3.31,6.47,0.02
"FUNGI,CLOUD EARS,DRIED",9.25,73.01,0
"MUSHROOMS,STRAW,CND,DRND SOL",3.83,4.64,0.089
"WASABI,ROOT,RAW",4.8,23.54,0
"YAUTIA (TANNIER),RAW",1.46,23.63,0.082
"MUSHROOMS,WHITE,MICROWAVED",3.91,6.04,0.06
"MUSHROOMS,MAITAKE,RAW",1.94,6.81,0.03
"FIDDLEHEAD FERNS,RAW",4.55,5.54,0
"FIDDLEHEAD FERNS,FRZ,UNPREP",4.31,5.74,0
"BREADFRUIT SEEDS,RAW",7.4,29.24,1.509
"BREADFRUIT SEEDS,BOILED",5.3,32,0.621
"BREADNUTTREE SEEDS,RAW",5.97,46.28,0.267
"BREADNUTTREE SEEDS,DRIED",8.62,79.39,0.454
"CHIA SEEDS,DRIED",15.62,43.85,3.176
"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",40.96,40.54,1.588
"COTTONSEED FLR,LOFAT (GLANDLESS)",49.83,36.1,0.31
"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",49.1,38.43,1.207
"LOTUS SEEDS,DRIED",15.41,64.47,0.33
"PUMPKIN&SQUASH SD KRNLS,DRIED",24.54,17.81,8.674
"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT",32.97,13.43,7.97
"SAFFLOWER SD KRNLS,DRIED",16.18,34.29,3.682
"SAFFLOWER SD MEAL,PART DEFATTED",35.62,48.73,0.207
"SESAME SEEDS,WHOLE,DRIED",17.73,23.45,6.957
"SESAME SEEDS,WHL,RSTD&TSTD",16.96,25.74,6.722
"SESAME SD KRNLS,TSTD,WO/SALT (DECORT)",16.96,26.04,6.722
"SESAME FLR,PART DEFATTED",40.32,35.14,1.634
"SESAME FLOUR,LOW-FAT",50.14,35.51,0.201
"SESAME MEAL,PART DEFATTED",16.96,26.04,6.722
"SUNFLOWER SD KRNLS,DRIED",20.78,20,4.455
"SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT",19.33,24.07,5.219
"SUNFLOWER SD KRNLS,OIL RSTD,WO/SALT",20.06,22.89,7.068
"SUNFLOWER SD KRNLS,TSTD,WO/SALT",17.21,20.59,5.953
"SUNFLOWER SD BUTTER,WO/SALT",19.66,27.42,5.002
"SUNFLOWER SD FLR,PART DEFATTED",48.06,35.83,0.138
"ACORNS,RAW",6.15,40.75,3.102
"ACORNS,DRIED",8.1,53.66,4.084
"ACORN FLOUR,FULL FAT",7.49,54.65,3.923
"ALMONDS",21.22,21.67,3.731
"ALMONDS,BLANCHED",21.94,19.94,3.89
"ALMONDS,DRY RSTD,WO/SALT",22.09,19.29,4.047
"ALMONDS,OIL RSTD,WO/SALT",21.23,17.68,4.208
"ALMOND PASTE",9,47.81,2.629
"BEECHNUTS,DRIED",6.2,33.5,5.719
"BRAZILNUTS,DRIED,UNBLANCHED",14.32,12.27,15.137
"BUTTERNUTS,DRIED",24.9,12.05,1.306
"CASHEW NUTS,DRY RSTD,WO/SALT",15.31,32.69,9.157
"CASHEW NUTS,OIL RSTD,WO/SALT",16.84,29.87,8.478
"NUTS,CASHEW NUTS,RAW",18.22,30.19,7.783
"CASHEW BUTTER,PLN,WO/SALT",17.56,27.57,9.763
"CHESTNUTS,CHINESE,RAW",4.2,49.07,0.164
"CHESTNUTS,CHINESE,DRIED",6.82,79.76,0.266
"CHESTNUTS,CHINESE,BLD&STMD",2.88,33.64,0.112
"CHESTNUTS,CHINESE,ROASTED",4.48,52.36,0.175
"CHESTNUTS,EUROPEAN,RAW,UNPEELED",2.42,45.54,0.425
"CHESTNUTS,EUROPEAN,RAW,PEELED",1.63,44.17,0.235
"CHESTNUTS,EUROPEAN,DRIED,UNPEELED",6.39,77.31,0.837
"CHESTNUTS,EUROPEAN,DRIED,PEELED",5.01,78.43,0.736
"CHESTNUTS,EUROPEAN,BLD&STMD",2,27.76,0.26
"COCONUT MEAT,RAW",3.33,15.23,29.698
"COCONUT MEAT,DRIED (DESICCATED),NOT SWTND",6.88,23.65,57.218
"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,PACKAGED",3.13,51.85,26.396
"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,CND",3.35,40.91,28.101
"COCONUT MEAT,DRIED (DESICCATED),TSTD",5.3,44.4,41.678
"COCONUT CRM,RAW (LIQ EXPRESSED FROM GRATED MEAT)",3.63,6.65,30.753
"NUTS,COCNT CRM,CND,SWTND",1.17,53.21,15.472
"COCONUT MILK,RAW (LIQ EXPRESSED FROM GRATED MEAT&H2O)",2.29,5.54,21.14
"COCONUT MILK,CND (LIQ EXPRESSED FROM GRATED MEAT&H2O)",2.02,2.81,18.915
"COCONUT H2O (LIQ FROM COCONUTS)",0.72,3.71,0.176
"HAZELNUTS OR FILBERTS",14.95,16.7,4.464
"HAZELNUTS OR FILBERTS,BLANCHED",13.7,17,4.669
"HAZELNUTS OR FILBERTS,DRY RSTD,WO/SALT",15.03,17.6,4.511
"GINKGO NUTS,RAW",4.32,37.6,0.319
"GINKGO NUTS,DRIED",10.35,72.45,0.381
"GINKGO NUTS,CANNED",2.29,22.1,0.309
"HICKORYNUTS,DRIED",12.72,18.25,7.038
"MACADAMIA NUTS,RAW",7.91,13.82,12.061
"MACADAMIA NUTS,DRY RSTD,WO/SALT",7.79,13.38,11.947
"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",17.3,25.35,6.899
"MIXED NUTS,OIL RSTD,W/PNUTS,WO/SALT",16.76,21.41,8.725
"MIXED NUTS,OIL RSTD,WO/PNUTS,WO/SALT",15.52,22.27,9.087
"FORMULATED,WHEAT-BASED,UNFLAVORED,W/SALT",13.82,23.68,8.701
"PECANS",9.17,13.86,6.18
"PECANS,DRY RSTD,WO/SALT",9.5,13.55,6.283
"PECANS,OIL RSTD,WO/SALT",9.2,13.01,7.238
"PILINUTS-CANARYTREE,DRIED",10.8,3.98,31.184
"NUTS,PINE NUTS,DRIED",13.69,13.08,4.899
"PINE NUTS,PINYON,DRIED",11.57,19.3,9.377
"PISTACHIO NUTS,RAW",20.61,27.97,5.44
"PISTACHIO NUTS,DRY RSTD,WO/SALT",21.35,27.65,5.555
"WALNUTS,BLACK,DRIED",24.06,9.91,3.368
"WALNUTS,ENGLISH",15.23,13.71,6.126
"BREADFRUIT SEEDS,ROASTED",6.2,40.1,0.729
"COTTONSEED KRNLS,RSTD (GLANDLESS)",32.59,21.9,9.699
"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",18.55,53.75,3.67
"SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",17,21.19,7.529
"CHESTNUTS,EUROPEAN,RSTD",3.17,52.96,0.414
"SESAME BUTTER,PASTE",18.08,24.05,7.124
"SESAME FLOUR,HIGH-FAT",30.78,26.62,5.196
"SESAME BUTTER,TAHINI,FROM UNROASTED KRNLS",17.95,17.89,7.904
"WATERMELON SD KRNLS,DRIED",28.33,15.31,9.779
